wl,n
0.1820,1.4679465862259
0.1915,1.4407913910231
0.2009,1.422764121467
0.2104,1.4093866965284
0.2199,1.399064758142
0.2294,1.3908241012126
0.2388,1.3841454790718
0.2483,1.3785121412586
0.2578,1.3737440834249
0.2672,1.3696980785677
0.2767,1.3661548299831
0.2862,1.3630595401556
0.2956,1.3603615197762
0.3051,1.3579431129972
0.3146,1.3557865447701
0.3241,1.3538529543346
0.3335,1.3521281492629
0.3430,1.350549622307
0.3525,1.3491150472655
0.3619,1.3478194943997
0.3714,1.3466202523109
0.3809,1.3455187528254
0.3903,1.3445141685829
0.3998,1.3435756703017
0.4093,1.3427061376724
0.4188,1.341898413271
0.4282,1.3411539035636
0.4377,1.34045134693
0.4472,1.3397941348754
0.4566,1.3391843066628
0.4661,1.3386051585073
0.4756,1.3380600434506
0.4850,1.3375512404603
0.4945,1.3370652823778
0.5040,1.3366053508081
0.5135,1.3361692982684
0.5229,1.3357594410975
0.5324,1.3353653263299
0.5419,1.3349898436519
0.5513,1.3346352438404
0.5608,1.334292688017
0.5703,1.3339648469612
0.5797,1.3336538750639
0.5892,1.3333521716563
0.5987,1.3330622051201
0.6082,1.3327831408348
0.6176,1.3325169923974
0.6271,1.3322573970809
0.6366,1.3320065870964
0.6460,1.3317664745307
0.6555,1.3315313994219
0.6650,1.3313034432243
0.6744,1.3310844250714
0.6839,1.3308692454666
0.6934,1.3306598562207
0.7029,1.3304558735667
0.7123,1.330259008797
0.7218,1.3300647424335
0.7313,1.3298748828499
0.7407,1.329691073075
0.7502,1.3295091314406
0.7597,1.3293307783594
0.7691,1.3291575989438
0.7786,1.3289856845931
0.7881,1.3288166823394
0.7976,1.3286503921034
0.8070,1.3284883366632
0.8165,1.3283268916356
0.8260,1.328167625867
0.8354,1.3280120256415
0.8449,1.3278566311755
0.8544,1.3277029655807
0.8638,1.3275524865531
0.8733,1.3274018651452
0.8828,1.3272525883205
0.8923,1.32710453999
0.9017,1.3269591507928
0.9112,1.3268132228682
0.9207,1.3266682080154
0.9301,1.3265255240887
0.9396,1.32638204417
0.9491,1.3262392023332
0.9585,1.326098409446
0.9680,1.3259565897464
0.9775,1.3258151661284
0.9870,1.3256740639273
0.9964,1.3255346928953
1.006,1.3253925390161
1.015,1.3252593763883
1.025,1.3251114708334
1.034,1.3249783454392
1.044,1.3248303521764
1.053,1.3246970353146
1.063,1.3245487081924
1.072,1.3244149850321
1.082,1.3242660923031
1.091,1.3241317601229
1.101,1.3239820826015
1.110,1.3238469492274
1.120,1.3236962786529
1.129,1.3235601610672
